City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Fortuna,US,2024-01-09 14:39:05,40.5982,-124.1573,50.34,96,100,1.99
67,Lasa,IT,2024-01-09 14:39:05,46.6166,10.7002,38.03,95,93,3.69
68,Luganville,VU,2024-01-09 14:39:05,-15.5333,167.1667,79.12,86,34,1.32
69,Fuzhou,CN,2024-01-09 14:39:05,26.0614,119.3061,55.29,95,7,2.17
70,Albany,US,2024-01-09 14:39:05,42.6001,-73.9662,32.95,91,100,1.99
71,Rafraf,TN,2024-01-09 14:39:05,37.1904,10.1837,52.11,56,35,17.98
72,Constitucion,CL,2024-01-09 14:39:05,-35.3333,-72.4167,67.17,51,60,11.83
73,Antofagasta,CL,2024-01-09 14:38:57,-23.65,-70.4,72.68,65,18,8.21
74,Najran,SA,2024-01-09 14:38:13,17.4924,44.1277,68.65,20,0,9.37
75,Porto Novo,BJ,2024-01-09 14:39:05,6.4965,2.6036,89.42,52,6,11.7
76,Asau,RO,2024-01-09 14:39:06,46.4333,26.4,13.12,88,56,3.89
77,Vila Do Maio,CV,2024-01-09 14:39:06,15.1333,-23.2167,81.39,68,100,13.65
78,Lata,PT,2024-01-09 14:39:06,40.1629,-8.3327,52.07,82,100,2.35
79,San Jose,US,2024-01-09 14:35:09,37.3394,-121.895,49.82,82,75,5.75
80,Qaanaaq,GL,2024-01-09 14:38:54,77.484,-69.3632,-18.74,69,1,7.65
81,Thompson,CA,2024-01-09 14:39:06,55.7435,-97.8558,-32.64,68,20,3.44
82,Port Elizabeth,ZA,2024-01-09 14:37:01,-33.918,25.5701,76.32,77,40,12.66
83,Evensk,RU,2024-01-09 14:34:08,61.95,159.2333,-11.4,92,100,4.7
84,Klyuchi,RU,2024-01-09 14:39:06,52.2667,79.1667,-4.7,96,55,5.73
85,Aswan,EG,2024-01-09 14:39:06,24.0934,32.907,80.51,32,100,5.73
86,Nago,JP,2024-01-09 14:39:06,26.5881,127.9761,63.03,82,67,6.02
87,Srednekolymsk,RU,2024-01-09 14:39:06,67.45,153.6833,-22.05,94,100,8.46
88,College,US,2024-01-09 14:39:06,64.8569,-147.8028,8.92,81,100,3.44
89,Khatanga,RU,2024-01-09 14:39:06,71.9667,102.5,-30.17,92,5,5.99
90,Masty,BY,2024-01-09 14:39:07,53.4122,24.5387,23.05,92,100,11.12
91,Yellowknife,CA,2024-01-09 14:39:07,62.456,-114.3525,-32.58,74,0,8.05
92,Eyl,SO,2024-01-09 14:39:07,7.9803,49.8164,77.68,69,5,26.57
93,Zandvoort,NL,2024-01-09 14:39:07,52.3749,4.5341,32.95,49,0,16.11
94,Gushikawa,JP,2024-01-09 14:40:07,26.3544,127.8686,63.63,88,75,4.61
95,Kavaratti,IN,2024-01-09 14:40:07,10.5669,72.642,82.69,75,100,7.27
96,Chilca,PE,2024-01-09 14:40:07,-12.5211,-76.7372,72.99,85,100,4.14
97,Arraial Do Cabo,BR,2024-01-09 14:40:07,-22.9661,-42.0278,94.96,55,0,10.36
98,Craig,US,2024-01-09 14:40:07,40.5153,-107.5464,6.42,84,100,3.44
99,Varkaus,FI,2024-01-09 14:40:07,62.3153,27.873,34.3,95,98,11.39
100,Lufilufi,WS,2024-01-09 14:40:07,-13.8745,-171.5986,77.79,79,47,6.85
101,Yamada,JP,2024-01-09 14:40:08,39.4667,141.95,35.26,83,22,6.08
102,Cidreira,BR,2024-01-09 14:40:08,-30.1811,-50.2056,77.97,75,32,9.62
103,Malindi,KE,2024-01-09 14:40:08,-3.2175,40.1191,84.36,70,75,18.41
104,Nalbari,IN,2024-01-09 14:40:08,26.4456,91.4354,60.78,50,0,1.77
105,Paracuru,BR,2024-01-09 14:40:08,-3.41,-39.0306,85.1,56,43,13.31
106,Trinidad,BO,2024-01-09 14:40:08,-14.8333,-64.9,87.78,70,43,13.8
107,Nome,US,2024-01-09 14:40:08,64.5011,-165.4064,24.87,93,100,0.0
108,Tasiilaq,GL,2024-01-09 14:40:08,65.6145,-37.6368,39.36,98,100,13.4
109,Gao,ML,2024-01-09 14:40:08,16.6362,1.637,89.87,7,39,9.89
110,Kodiak,US,2024-01-09 14:40:08,57.79,-152.4072,31.51,74,0,10.36
111,Lake Havasu City,US,2024-01-09 14:40:08,34.4839,-114.3224,37.22,46,0,3.44
112,Naraina,IN,2024-01-09 14:40:09,26.7833,75.2,55.85,42,0,9.17
113,Hamilton,US,2024-01-09 14:40:09,39.1834,-84.5333,45.93,95,100,18.41
114,Hasaki,JP,2024-01-09 14:40:09,35.7333,140.8333,32.4,47,0,8.28
115,Prince Rupert,CA,2024-01-09 14:40:09,54.3161,-130.3201,38.89,80,100,29.93
116,Dalvik,IS,2024-01-09 14:40:09,65.9702,-18.5286,46.33,81,86,17.05
117,Vao,NC,2024-01-09 14:40:09,-22.6667,167.4833,77.97,79,91,3.38
118,Iqaluit,CA,2024-01-09 14:40:09,63.7506,-68.5145,-14.31,62,75,18.41
119,Sao Felix Do Xingu,BR,2024-01-09 14:40:09,-6.6447,-51.995,89.15,55,100,3.87
120,Nikolskoye,RU,2024-01-09 14:40:09,59.7035,30.7861,34.02,97,100,13.73
121,Arlit,NE,2024-01-09 14:40:09,18.7369,7.3853,88.75,7,6,3.2
122,Dryden,CA,2024-01-09 14:40:09,49.7833,-92.7503,12.49,92,100,3.44
123,Nan,TH,2024-01-09 14:40:10,18.8333,100.6667,71.26,62,5,0.54
124,Jamestown,US,2024-01-09 14:40:10,42.097,-79.2353,36.99,99,100,18.41
125,Talnakh,RU,2024-01-09 14:40:10,69.4865,88.3972,-0.8,80,100,3.44
126,Merauke,ID,2024-01-09 14:40:10,-8.4667,140.3333,82.06,82,99,7.52
127,Glace Bay,CA,2024-01-09 14:40:10,46.1969,-59.957,28.98,72,75,20.71
128,Saskylakh,RU,2024-01-09 14:40:10,71.9167,114.0833,-36.04,100,67,3.6
129,Husavik,IS,2024-01-09 14:40:10,66.0449,-17.3389,36.88,80,38,17.07
130,Sovetskiy,RU,2024-01-09 14:40:10,61.3614,63.5842,0.9,94,96,8.01
131,Portland,US,2024-01-09 14:39:16,45.5234,-122.6762,45.81,91,100,10.0
132,Oistins,BB,2024-01-09 14:40:10,13.0667,-59.5333,82.49,78,40,20.71
133,West Bay,KY,2024-01-09 14:40:10,19.3667,-81.4167,84.27,74,20,14.97
134,Sao Filipe,CV,2024-01-09 14:40:10,14.8961,-24.4956,75.49,67,100,9.95
135,Ocala,US,2024-01-09 14:40:11,29.1872,-82.1401,73.18,83,100,9.22
136,Meadow Lake,US,2024-01-09 14:40:11,34.8014,-106.5436,24.67,48,0,7.96
137,Guozhen,CN,2024-01-09 14:40:11,34.3659,107.359,41.31,44,3,1.77
138,Avarua,CK,2024-01-09 14:40:11,-21.2078,-159.775,77.05,88,75,12.66
139,Praia,CV,2024-01-09 14:39:34,14.9215,-23.5087,81.14,50,100,18.41
140,Isangel,VU,2024-01-09 14:40:11,-19.55,169.2667,78.96,84,0,8.21
141,Netivot,IL,2024-01-09 14:41:11,31.4222,34.5886,59.38,45,0,8.68
142,Erenhot,CN,2024-01-09 14:41:11,43.6475,111.9767,8.89,81,4,10.36
143,Bengkulu,ID,2024-01-09 14:41:11,-3.8004,102.2655,77.22,92,100,6.15
