City_ID,City,Country,Date,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Pangoa,PE,2023-04-22 14:02:50,-12.1167,-73.0,78.04,78.04,64,100,1.97,overcast clouds
304,San Quintin,MX,2023-04-22 14:02:50,30.4833,-115.95,60.82,60.82,75,0,5.03,clear sky
305,Vostok,RU,2023-04-22 14:02:51,46.4856,135.8833,28.08,28.08,89,98,4.43,overcast clouds
306,Pa Sang,TH,2023-04-22 14:02:51,18.5262,98.9394,82.6,78.53,51,40,1.74,scattered clouds
307,Chifeng,CN,2023-04-22 14:02:51,42.2683,118.9636,43.27,43.27,14,52,3.89,broken clouds
308,Kloulklubed,PW,2023-04-22 14:02:51,7.0419,134.2556,81.81,81.81,79,91,10.04,overcast clouds
309,Arlit,NE,2023-04-22 14:02:51,18.7369,7.3853,101.3,101.3,3,1,19.57,clear sky
310,Stralsund,DE,2023-04-22 14:02:51,54.3091,13.0818,62.35,62.35,57,38,11.83,scattered clouds
311,Verkhnyaya Inta,RU,2023-04-22 14:02:51,65.9811,60.3094,33.33,33.33,93,100,4.92,overcast clouds
312,Marawi,PH,2023-04-22 14:02:51,7.9986,124.2928,70.48,70.48,92,59,0.69,broken clouds
313,Ponta Delgada,PT,2023-04-22 14:02:51,37.7333,-25.6667,63.32,63.32,94,75,13.8,light intensity shower rain
314,Udachnyy,RU,2023-04-22 14:01:46,66.4167,112.4,15.53,15.53,92,100,4.92,overcast clouds
315,Haines Junction,CA,2023-04-22 14:02:52,60.7522,-137.5108,19.35,19.35,86,29,0.0,scattered clouds
316,Piterka,RU,2023-04-22 14:02:52,50.6803,47.4454,58.46,58.46,50,91,14.32,overcast clouds
317,Pringsewu,ID,2023-04-22 14:02:52,-5.3582,104.9744,75.69,75.69,96,53,1.07,broken clouds
318,Coquimbo,CL,2023-04-22 14:02:52,-29.9533,-71.3436,58.73,58.73,88,75,6.91,broken clouds
319,Kerema,PG,2023-04-22 14:02:52,-7.9631,145.7785,79.14,79.14,88,100,3.62,overcast clouds
320,Avera,US,2023-04-22 14:02:52,33.194,-82.5271,71.11,66.25,77,50,9.62,scattered clouds
321,Tuy Hoa,VN,2023-04-22 14:02:52,13.0833,109.3,79.21,79.21,91,62,9.17,broken clouds
322,Poya,NC,2023-04-22 14:02:52,-21.35,165.15,74.53,74.53,91,3,3.69,clear sky
323,Severo-Kurilsk,RU,2023-04-22 14:03:53,50.6789,156.125,31.64,31.64,94,94,8.63,overcast clouds
324,Thinadhoo,MV,2023-04-22 14:01:17,0.5333,72.9333,84.88,84.88,70,79,3.6,broken clouds
325,Gourdon,FR,2023-04-22 14:03:53,44.75,1.5,50.77,50.77,97,100,2.77,moderate rain
326,San Cristobal,VE,2023-04-22 14:03:53,7.7669,-72.225,66.38,66.38,74,100,3.89,overcast clouds
327,Sao Joao De Pirabas,BR,2023-04-22 14:03:53,-0.7747,-47.1772,85.3,85.3,71,100,8.77,overcast clouds
328,Rawson,AR,2023-04-22 14:03:53,-43.3002,-65.1023,57.83,57.83,54,0,22.73,clear sky
329,Monroe,US,2023-04-22 14:03:53,43.1501,-77.6831,63.99,56.71,89,100,9.22,overcast clouds
330,Dzilam Gonzalez,MX,2023-04-22 14:03:53,21.2833,-88.9333,82.24,82.24,63,18,5.86,few clouds
331,Alofi,NU,2023-04-22 14:03:53,-19.0595,-169.9187,62.49,62.49,100,0,1.14,clear sky
332,Acarau,BR,2023-04-22 14:01:16,-2.8856,-40.12,84.51,84.51,65,27,14.25,scattered clouds
333,Antanifotsy,MG,2023-04-22 14:03:54,-19.65,47.3167,65.41,65.41,76,90,3.15,light rain
334,Bukachacha,RU,2023-04-22 14:03:54,52.9833,116.9167,17.28,17.28,77,31,2.51,scattered clouds
335,Berislavesti,RO,2023-04-22 14:03:54,45.25,24.4167,56.59,56.59,67,60,4.41,broken clouds
336,Sandwick,GB,2023-04-22 14:03:54,60.0,-1.25,48.02,48.02,76,75,23.02,broken clouds
337,Ranong,TH,2023-04-22 14:03:54,9.9658,98.6348,81.12,81.12,84,25,0.67,scattered clouds
338,Singaraja,ID,2023-04-22 14:03:54,-8.112,115.0882,80.55,80.55,84,76,4.54,broken clouds
339,Tommot,RU,2023-04-22 14:03:54,58.9564,126.2925,17.55,17.55,96,100,2.06,overcast clouds
340,Mingaora,PK,2023-04-22 14:03:54,34.7758,72.3625,63.5,63.5,47,0,2.28,clear sky
341,Barcelos,PT,2023-04-22 14:03:54,41.5388,-8.6151,64.92,62.85,61,8,11.45,clear sky
342,Kaeo,NZ,2023-04-22 14:03:54,-35.1,173.7833,64.33,64.33,97,60,3.44,broken clouds
343,Tigil,RU,2023-04-22 14:03:55,57.8,158.6667,32.65,32.65,67,98,20.33,overcast clouds
344,Alyangula,AU,2023-04-22 14:03:55,-13.8483,136.4192,79.12,79.12,73,100,11.12,overcast clouds
345,Vanavara,RU,2023-04-22 14:03:55,60.34,102.2797,9.45,9.45,96,14,3.27,few clouds
346,Hammerfest,NO,2023-04-22 14:03:55,70.6634,23.6821,27.05,27.05,74,40,12.66,light snow
347,Talpa,MX,2023-04-22 14:03:55,28.8257,-111.6257,69.26,69.26,20,0,5.12,clear sky
348,Cap Malheureux,MU,2023-04-22 14:03:55,-19.9842,57.6142,80.47,80.47,77,9,1.99,clear sky
349,Yar-Sale,RU,2023-04-22 14:03:55,66.8333,70.8333,33.04,33.04,95,100,9.28,overcast clouds
350,Paka,MY,2023-04-22 14:03:55,4.6374,103.4368,82.33,81.99,89,87,0.0,overcast clouds
351,Bilma,NE,2023-04-22 14:03:55,18.6853,12.9164,104.18,104.18,6,3,21.74,clear sky
352,Castro,BR,2023-04-22 14:02:16,-24.7911,-50.0119,62.55,62.55,72,65,6.24,broken clouds
353,Coihaique,CL,2023-04-22 13:54:46,-45.5752,-72.0662,47.01,42.75,81,75,5.75,broken clouds
354,Ritchie,ZA,2023-04-22 14:03:56,-29.038,24.6028,78.01,78.01,13,96,21.43,overcast clouds
355,Barabai,ID,2023-04-22 14:03:56,-2.5833,115.3833,75.4,75.4,96,100,2.75,overcast clouds
356,Ekhabi,RU,2023-04-22 14:03:56,53.5102,142.9671,29.53,29.53,92,100,17.31,overcast clouds
357,Kirkwall,GB,2023-04-22 14:03:56,58.9848,-2.9587,48.96,48.25,76,75,19.57,broken clouds
358,Sederot,IL,2023-04-22 14:03:56,31.525,34.5969,74.3,67.6,54,5,14.09,clear sky
359,Gushi,CN,2023-04-22 14:03:56,34.6425,109.5843,37.67,37.67,97,100,5.14,overcast clouds
360,Sao Joao Da Barra,BR,2023-04-22 14:02:38,-21.6403,-41.0511,73.49,73.49,67,99,5.59,overcast clouds
361,Ahipara,NZ,2023-04-22 14:03:56,-35.1667,173.1667,63.01,63.01,93,74,8.19,broken clouds
362,Aldan,RU,2023-04-22 14:03:56,58.6031,125.3894,10.22,10.22,90,83,3.15,broken clouds
363,Saint-Michel-Des-Saints,CA,2023-04-22 14:03:57,46.6834,-73.9159,47.16,47.16,96,100,8.14,overcast clouds
364,Ocean City,US,2023-04-22 14:02:00,39.2776,-74.5746,76.01,58.98,77,100,1.99,overcast clouds
365,Santa Rita Do Sapucai,BR,2023-04-22 14:03:57,-22.2522,-45.7033,78.08,78.08,66,0,0.69,clear sky
366,Shubarkuduk,KZ,2023-04-22 14:03:57,49.1447,56.4872,64.78,64.78,45,7,13.62,clear sky
367,Omsukchan,RU,2023-04-22 14:03:57,62.5333,155.8,4.71,4.71,100,63,2.66,broken clouds
368,Kelamangalam,IN,2023-04-22 14:03:57,12.6,77.85,80.37,80.37,53,54,3.15,broken clouds
369,Kukmor,RU,2023-04-22 14:03:57,56.1855,50.8944,52.9,52.9,60,100,5.59,overcast clouds
370,Puerto Escondido,MX,2023-04-22 14:00:14,15.85,-97.0667,81.25,81.25,73,95,1.59,overcast clouds
371,Inirida,CO,2023-04-22 14:04:57,3.8653,-67.9239,79.83,79.83,84,95,2.35,overcast clouds
372,Camacha,PT,2023-04-22 14:04:57,33.0833,-16.3333,65.62,65.62,60,40,9.22,scattered clouds
373,Mundi,IN,2023-04-22 14:04:57,22.0667,76.5,82.89,82.89,36,97,16.15,overcast clouds
374,Brentwood,US,2023-04-22 14:04:38,40.7812,-73.2462,63.09,50.65,88,100,12.66,overcast clouds
375,Santa Vitoria Do Palmar,BR,2023-04-22 14:04:58,-33.5189,-53.3681,71.13,71.13,53,100,2.68,overcast clouds
